,wallet_label,question,outcomes_operated,notional_total,min_weighted_avg_price,max_weighted_avg_price,is_binary_candidate,sum_price_approx,paired_qty_approx,imbalance_qty,paired_notional_proxy
0,Mind.The.Gap,Canada vs. Morocco: Both Teams to Score,2,17796.9,0.3918,0.98,True,1.3718,5.72,678.67,7.85
1,Mind.The.Gap,Canada vs. Morocco: O/U 0.5,1,533.03,0.84,0.84,False,,,,
2,Mind.The.Gap,Canada vs. Morocco: O/U 1.5,2,12936.75,0.4981,0.6278,True,1.1259,474.09,5774.56,533.76
3,Mind.The.Gap,Canada vs. Morocco: O/U 2.5,2,51917.54,0.2771,0.8434,True,1.1205,0.05,28719.5,0.05
4,Mind.The.Gap,Canada vs. Morocco: Team to Advance,2,47193.52,0.1782,0.8899,True,1.0681,0.02,48969.48,0.02
5,Mind.The.Gap,Spread: Morocco (-1.5),2,2171.18,0.2879,0.5,True,0.7879,0.02,1460.38,0.02
6,Mind.The.Gap,Spread: Morocco (-2.5),1,678.68,0.5298,0.5298,False,,,,
7,Mind.The.Gap,Will Canada vs. Morocco end in a draw?,2,9924.71,0.2518,0.8083,True,1.0601,3473.1,17933.26,3681.76
8,Mind.The.Gap,Will Canada win on 2026-07-04?,1,12068.46,0.9818,0.9818,False,,,,
9,Mind.The.Gap,Will Morocco win on 2026-07-04?,2,42649.06,0.363,0.7356,True,1.0987,0.01,1015.06,0.01
10,RN1,Canada leading at halftime?,2,7412.83,0.08,0.9191,True,0.9991,45.71,8015.38,45.67
11,RN1,Canada vs. Morocco: 1st Half O/U 0.5,2,8524.55,0.1086,0.9406,True,1.0491,5412.24,26145.39,5678.09
12,RN1,Canada vs. Morocco: 1st Half O/U 1.5,1,121.54,0.9898,0.9898,False,,,,
13,RN1,Canada vs. Morocco: Both Teams to Score,2,70526.1,0.2643,0.7198,True,0.9841,57217.02,19655.24,56307.81
14,RN1,Canada vs. Morocco: Canada O/U 0.5,1,64.22,0.24,0.24,False,,,,
15,RN1,Canada vs. Morocco: Canada O/U 1.5,1,11060.92,0.9675,0.9675,False,,,,
16,RN1,Canada vs. Morocco: Canada O/U 2.5,2,18145.99,0.013,0.978,True,0.991,20.26,18533.74,20.08
17,RN1,Canada vs. Morocco: Draw at halftime?,2,893.63,0.1739,0.9594,True,1.1333,314.13,3091.46,356.01
18,RN1,Canada vs. Morocco: Morocco O/U 0.5,1,6226.81,0.4434,0.4434,False,,,,
19,RN1,Canada vs. Morocco: Morocco O/U 1.5,1,1446.96,0.83,0.83,False,,,,
20,RN1,Canada vs. Morocco: Morocco O/U 2.5,1,73.72,0.0844,0.0844,False,,,,
21,RN1,Canada vs. Morocco: O/U 0.5,2,9125.52,0.2691,0.71,True,0.9791,8912.81,1481.48,8726.86
22,RN1,Canada vs. Morocco: O/U 1.5,2,72920.6,0.4719,0.5486,True,1.0206,40191.66,58149.32,41018.11
23,RN1,Canada vs. Morocco: O/U 2.5,2,84343.96,0.2599,0.7943,True,1.0542,61121.81,76272.33,64435.67
24,RN1,Canada vs. Morocco: O/U 3.5,2,24323.8,0.0588,0.9557,True,1.0145,22711.22,21729.74,23039.58
25,RN1,Canada vs. Morocco: O/U 4.5,2,10471.9,0.0114,0.994,True,1.0054,10355.25,5353.26,10410.98
26,RN1,Canada vs. Morocco: O/U 5.5,1,40.77,0.003,0.003,False,,,,
27,RN1,Canada vs. Morocco: Team to Advance,2,51029.83,0.1984,0.7942,True,0.9926,43622.99,38942.86,43301.09
28,RN1,Detroit Tigers vs. Texas Rangers,2,6000.82,0.1802,0.7442,True,0.9244,528.76,7406.46,488.81
29,RN1,Detroit Tigers vs. Texas Rangers: O/U 8.5,2,181.27,0.5911,0.68,True,1.2711,114.6,52.31,145.67
30,RN1,Exact Score: Canada 0 - 0 Morocco?,2,880.31,0.267,0.6971,True,0.964,62.63,1176.24,60.38
31,RN1,Exact Score: Canada 0 - 1 Morocco?,2,7953.42,0.408,0.6643,True,1.0723,5712.07,2751.76,6125.15
32,RN1,Exact Score: Canada 0 - 2 Morocco?,2,25719.11,0.4484,0.7476,True,1.196,8644.17,33942.74,10338.2
33,RN1,Exact Score: Canada 0 - 3 Morocco?,2,3880.58,0.081,0.9628,True,1.0437,122.23,3898.05,127.58
34,RN1,Exact Score: Canada 1 - 0 Morocco?,2,3992.3,0.14,0.842,True,0.982,148.9,4567.47,146.21
35,RN1,Exact Score: Canada 1 - 1 Morocco?,2,3852.94,0.0813,0.7652,True,0.8465,3736.54,8489.74,3162.83
36,RN1,Exact Score: Canada 1 - 2 Morocco?,2,12157.39,0.1046,0.8862,True,0.9908,2854.06,10526.11,2827.83
37,RN1,Exact Score: Canada 1 - 3 Morocco?,1,771.61,0.9896,0.9896,False,,,,
38,RN1,Exact Score: Canada 2 - 0 Morocco?,1,3287.42,0.9623,0.9623,False,,,,
39,RN1,Exact Score: Canada 2 - 1 Morocco?,2,1598.02,0.0338,0.9613,True,0.9951,945.28,683.85,940.63
40,RN1,Exact Score: Canada 2 - 2 Morocco?,2,592.92,0.0125,0.9882,True,1.0007,589.64,230.77,590.04
41,RN1,Exact Score: Canada 2 - 3 Morocco?,1,953.45,0.9938,0.9938,False,,,,
42,RN1,Exact Score: Canada 3 - 1 Morocco?,2,931.28,0.0059,0.986,True,0.9919,925.71,2190.61,918.26
43,RN1,Exact Score: Canada 3 - 2 Morocco?,2,778.09,0.003,0.992,True,0.995,782.0,0.0,778.09
44,RN1,Exact Score: Canada 3 - 3 Morocco?,2,376.15,0.002,0.999,True,1.001,373.4,1190.59,373.77
45,RN1,Exact Score: Paraguay 0 - 0 France?,2,3360.08,0.0751,0.9218,True,0.9969,862.96,2711.93,860.29
46,RN1,Exact Score: Paraguay 0 - 1 France?,1,1146.04,0.8232,0.8232,False,,,,
47,RN1,Exact Score: Paraguay 0 - 2 France?,1,623.22,0.7821,0.7821,False,,,,
48,RN1,Exact Score: Paraguay 0 - 3 France?,2,1180.15,0.13,0.86,True,0.99,1031.7,1221.28,1021.38
49,RN1,Exact Score: Paraguay 1 - 0 France?,1,162.23,0.974,0.974,False,,,,
50,RN1,Exact Score: Paraguay 1 - 1 France?,2,2114.62,0.067,0.9224,True,0.9894,115.02,2166.88,113.8
51,RN1,Exact Score: Paraguay 1 - 2 France?,1,8587.84,0.91,0.91,False,,,,
52,RN1,Exact Score: Paraguay 1 - 3 France?,1,2506.43,0.9269,0.9269,False,,,,
53,RN1,Exact Score: Paraguay 2 - 0 France?,2,292.69,0.0044,0.984,True,0.9884,295.0,246.21,291.59
54,RN1,Exact Score: Paraguay 2 - 2 France?,1,992.14,0.9724,0.9724,False,,,,
55,RN1,Exact Score: Paraguay 2 - 3 France?,1,74.01,0.983,0.983,False,,,,
56,RN1,France leading at halftime?,2,65097.72,0.4684,0.5021,True,0.9706,58421.93,16648.01,56701.68
57,RN1,Liaoning Tieren FC vs. Chongqing Tonglianglong FC: O/U 2.5,1,6.41,0.42,0.42,False,,,,
58,RN1,Minnesota Twins vs. New York Yankees,2,498.57,0.3923,0.6762,True,1.0684,187.63,440.88,200.47
59,RN1,Morocco leading at halftime?,2,14319.95,0.062,0.9397,True,1.0017,6456.38,8354.91,6467.38
60,RN1,Paraguay leading at halftime?,2,8359.36,0.04,0.9569,True,0.9969,4700.0,3839.76,4685.25
61,RN1,Paraguay vs. France: 1st Half O/U 0.5,2,21104.19,0.4966,0.504,True,1.0006,12622.53,17063.28,12630.04
62,RN1,Paraguay vs. France: 1st Half O/U 1.5,2,48458.45,0.227,0.6709,True,0.8979,31711.6,29769.25,28473.38
63,RN1,Paraguay vs. France: 1st Half O/U 2.5,2,5967.0,0.0804,0.9802,True,1.0606,5040.2,7725.81,5345.71
64,RN1,Paraguay vs. France: Both Teams to Score,2,13476.75,0.3076,0.6013,True,0.9089,13754.3,1567.42,12500.81
65,RN1,Paraguay vs. France: Draw at halftime?,2,1345.42,0.473,0.5692,True,1.0422,34.09,2769.14,35.53
66,RN1,Paraguay vs. France: France O/U 0.5,2,3985.16,0.0734,0.92,True,0.9934,323.75,3982.13,321.6
67,RN1,Paraguay vs. France: France O/U 1.5,2,626.89,0.3933,0.67,True,1.0633,150.0,1188.52,159.49
68,RN1,Paraguay vs. France: France O/U 2.5,2,4536.08,0.3122,0.5818,True,0.894,2809.41,3479.84,2511.55
69,RN1,Paraguay vs. France: O/U 0.5,1,72.86,0.0628,0.0628,False,,,,
70,RN1,Paraguay vs. France: O/U 1.5,2,14548.27,0.2463,0.7631,True,1.0093,3618.5,14278.62,3652.32
71,RN1,Paraguay vs. France: O/U 2.5,2,19824.99,0.4787,0.5463,True,1.025,14473.26,10425.07,14834.49
72,RN1,Paraguay vs. France: O/U 3.5,2,12207.82,0.193,0.7101,True,0.9031,13286.26,1079.88,11999.37
73,RN1,Paraguay vs. France: O/U 4.5,2,789.81,0.0944,0.88,True,0.9744,35.25,7999.41,34.35
74,RN1,Paraguay vs. France: O/U 5.5,2,4852.16,0.0221,0.9682,True,0.9903,4898.85,31.5,4851.47
