,wallet_label,question,outcomes_operated,notional_total,min_weighted_avg_price,max_weighted_avg_price,is_binary_candidate,sum_price_approx,paired_qty_approx,imbalance_qty,paired_notional_proxy,theoretical_pair_edge_per_share,theoretical_pair_edge_usdc,imbalance_ratio
0,RN1,Paraguay vs. France: 1st Half O/U 1.5,2,48458.45,0.227,0.6709,True,0.8979,31711.6,29769.25,28473.38,0.1021,3237.75,0.4842
1,RN1,France leading at halftime?,2,65097.72,0.4684,0.5021,True,0.9706,58421.93,16648.01,56701.68,0.0294,1717.6,0.2218
2,RN1,Will Canada win on 2026-07-04?,2,59033.53,0.1007,0.8705,True,0.9712,53548.09,8072.68,52004.51,0.0288,1542.18,0.131
3,RN1,Paraguay vs. France: O/U 3.5,2,12207.82,0.193,0.7101,True,0.9031,13286.26,1079.88,11999.37,0.0969,1287.44,0.0752
4,RN1,Paraguay vs. France: Both Teams to Score,2,13476.75,0.3076,0.6013,True,0.9089,13754.3,1567.42,12500.81,0.0911,1253.02,0.1023
5,RN1,Spread: France (-1.5),2,56740.41,0.4398,0.5421,True,0.9819,55087.94,5973.69,54088.77,0.0181,997.09,0.0978
6,RN1,Canada vs. Morocco: Both Teams to Score,2,70526.1,0.2643,0.7198,True,0.9841,57217.02,19655.24,56307.81,0.0159,909.75,0.2557
7,RN1,Exact Score: Canada 1 - 1 Morocco?,2,3852.94,0.0813,0.7652,True,0.8465,3736.54,8489.74,3162.83,0.1535,573.56,0.6944
8,RN1,Canada vs. Morocco: Team to Advance,2,51029.83,0.1984,0.7942,True,0.9926,43622.99,38942.86,43301.09,0.0074,322.81,0.4717
9,RN1,Paraguay vs. France: France O/U 2.5,2,4536.08,0.3122,0.5818,True,0.894,2809.41,3479.84,2511.55,0.106,297.8,0.5533
10,RN1,Canada vs. Morocco: O/U 0.5,2,9125.52,0.2691,0.71,True,0.9791,8912.81,1481.48,8726.86,0.0209,186.28,0.1425
11,RN1,Paraguay vs. France: O/U 5.5,2,4852.16,0.0221,0.9682,True,0.9903,4898.85,31.5,4851.47,0.0097,47.52,0.0064
12,RN1,Detroit Tigers vs. Texas Rangers,2,6000.82,0.1802,0.7442,True,0.9244,528.76,7406.46,488.81,0.0756,39.97,0.9334
13,RN1,Exact Score: Canada 1 - 2 Morocco?,2,12157.39,0.1046,0.8862,True,0.9908,2854.06,10526.11,2827.83,0.0092,26.26,0.7867
14,RN1,Will Paraguay win on 2026-07-04?,2,29826.59,0.0433,0.9558,True,0.9991,28705.22,26516.0,28678.8,0.0009,25.83,0.4802
15,RN1,Paraguay vs. France: Team to Advance,2,2485.43,0.0785,0.91,True,0.9885,1417.67,13812.54,1401.35,0.0115,16.3,0.9069
16,RN1,Paraguay leading at halftime?,2,8359.36,0.04,0.9569,True,0.9969,4700.0,3839.76,4685.25,0.0031,14.57,0.4496
17,RN1,Exact Score: Paraguay 0 - 3 France?,2,1180.15,0.13,0.86,True,0.99,1031.7,1221.28,1021.38,0.01,10.32,0.5421
18,RN1,Exact Score: Canada 3 - 1 Morocco?,2,931.28,0.0059,0.986,True,0.9919,925.71,2190.61,918.26,0.0081,7.5,0.7029
19,RN1,Exact Score: Canada 2 - 1 Morocco?,2,1598.02,0.0338,0.9613,True,0.9951,945.28,683.85,940.63,0.0049,4.63,0.4198
20,RN1,Exact Score: Canada 3 - 2 Morocco?,2,778.09,0.003,0.992,True,0.995,782.0,0.0,778.09,0.005,3.91,0.0
21,RN1,Spread: Canada (-1.5),2,4832.7,0.0073,0.9478,True,0.9551,80.32,5018.02,76.71,0.0449,3.61,0.9842
22,RN1,Exact Score: Paraguay 2 - 0 France?,2,292.69,0.0044,0.984,True,0.9884,295.0,246.21,291.59,0.0116,3.42,0.4549
23,RN1,Exact Score: Canada 1 - 0 Morocco?,2,3992.3,0.14,0.842,True,0.982,148.9,4567.47,146.21,0.018,2.68,0.9684
24,RN1,Exact Score: Paraguay 0 - 0 France?,2,3360.08,0.0751,0.9218,True,0.9969,862.96,2711.93,860.29,0.0031,2.68,0.7586
25,RN1,Exact Score: Canada 0 - 0 Morocco?,2,880.31,0.267,0.6971,True,0.964,62.63,1176.24,60.38,0.036,2.25,0.9494
26,RN1,Spread: France (-2.5),2,7164.39,0.308,0.6694,True,0.9774,95.15,22958.8,93.0,0.0226,2.15,0.9959
27,RN1,Paraguay vs. France: France O/U 0.5,2,3985.16,0.0734,0.92,True,0.9934,323.75,3982.13,321.6,0.0066,2.14,0.9248
28,RN1,Exact Score: Paraguay 1 - 1 France?,2,2114.62,0.067,0.9224,True,0.9894,115.02,2166.88,113.8,0.0106,1.22,0.9496
29,RN1,Paraguay vs. France: O/U 4.5,2,789.81,0.0944,0.88,True,0.9744,35.25,7999.41,34.35,0.0256,0.9,0.9956
30,RN1,Pittsburgh Pirates vs. Washington Nationals: O/U 9.5,2,631.52,0.3,0.6449,True,0.9449,6.08,2085.92,5.75,0.0551,0.34,0.9971
31,RN1,Canada vs. Morocco: Canada O/U 2.5,2,18145.99,0.013,0.978,True,0.991,20.26,18533.74,20.08,0.009,0.18,0.9989
32,RN1,Quito: Samuel Heredia vs Matheus Pucinelli de Almeida,2,373.1,0.11,0.77,True,0.88,1.12,483.27,0.99,0.12,0.13,0.9977
33,RN1,Canada leading at halftime?,2,7412.83,0.08,0.9191,True,0.9991,45.71,8015.38,45.67,0.0009,0.04,0.9943
34,Mind.The.Gap,Spread: Morocco (-1.5),2,2171.18,0.2879,0.5,True,0.7879,0.02,1460.38,0.02,0.2121,0.0,1.0
