question,Canada vs. Morocco: Both Teams to Score,Canada vs. Morocco: O/U 0.5,Canada vs. Morocco: O/U 1.5,Canada vs. Morocco: O/U 2.5,Canada vs. Morocco: Team to Advance,Spread: Morocco (-1.5),Spread: Morocco (-2.5),Will Canada vs. Morocco end in a draw?,Will Canada win on 2026-07-04?,Will Morocco win on 2026-07-04?
Canada vs. Morocco: Both Teams to Score,1.0,0.49526055654364853,0.46900269541778977,0.3708981653788398,-0.3933014102674946,0.16846361185983827,0.3428726929917567,0.5332716435872871,0.2641640514857749,0.5744058721311102
Canada vs. Morocco: O/U 0.5,0.49526055654364853,1.0,0.26667876121581074,0.10554896282946914,-0.035182987609823045,0.4190666247677026,-0.07692307692307693,0.3608256891580365,0.5265457332134624,0.4040950971038548
Canada vs. Morocco: O/U 1.5,0.46900269541778977,0.26667876121581074,1.0,0.42317240345236756,0.13690871876400126,0.29380053908355797,-0.15238786355189188,0.6155316311619218,0.48430076105725395,0.7433487756990836
Canada vs. Morocco: O/U 2.5,0.3708981653788398,0.10554896282946914,0.42317240345236756,1.0,-0.17701149425287357,0.1866937074054563,-0.10554896282946914,0.6260814969557327,0.45351268875881323,0.5352710887211867
Canada vs. Morocco: Team to Advance,-0.3933014102674946,-0.035182987609823045,0.13690871876400126,-0.17701149425287357,1.0,0.3634304170826216,-0.31664688848840744,-0.117881453401707,0.04691510573367034,0.2232296468657864
Spread: Morocco (-1.5),0.16846361185983827,0.4190666247677026,0.29380053908355797,0.1866937074054563,0.3634304170826216,1.0,-0.07619393177594594,0.019855859069739412,0.6536366914968532,0.343084050322654
Spread: Morocco (-2.5),0.3428726929917567,-0.07692307692307693,-0.15238786355189188,-0.10554896282946914,-0.31664688848840744,-0.07619393177594594,1.0,-0.1202752297193455,-0.04786779392849659,-0.03673591791853225
Will Canada vs. Morocco end in a draw?,0.5332716435872871,0.3608256891580365,0.6155316311619218,0.6260814969557327,-0.117881453401707,0.019855859069739412,-0.1202752297193455,1.0,0.5310432998775818,0.5114848271338402
Will Canada win on 2026-07-04?,0.2641640514857749,0.5265457332134624,0.48430076105725395,0.45351268875881323,0.04691510573367034,0.6536366914968532,-0.04786779392849659,0.5310432998775818,1.0,0.44087288528082996
Will Morocco win on 2026-07-04?,0.5744058721311102,0.4040950971038548,0.7433487756990836,0.5352710887211867,0.2232296468657864,0.343084050322654,-0.03673591791853225,0.5114848271338402,0.44087288528082996,1.0
