question,Canada leading at halftime?,Canada vs. Morocco: 1st Half O/U 0.5,Canada vs. Morocco: 1st Half O/U 1.5,Canada vs. Morocco: Both Teams to Score,Canada vs. Morocco: Canada O/U 0.5,Canada vs. Morocco: Canada O/U 1.5,Canada vs. Morocco: Canada O/U 2.5,Canada vs. Morocco: Draw at halftime?,Canada vs. Morocco: Morocco O/U 0.5,Canada vs. Morocco: Morocco O/U 1.5,Canada vs. Morocco: Morocco O/U 2.5,Canada vs. Morocco: O/U 0.5,Canada vs. Morocco: O/U 1.5,Canada vs. Morocco: O/U 2.5,Canada vs. Morocco: O/U 3.5,Canada vs. Morocco: O/U 4.5,Canada vs. Morocco: O/U 5.5,Canada vs. Morocco: Team to Advance,Detroit Tigers vs. Texas Rangers,Detroit Tigers vs. Texas Rangers: O/U 8.5,Exact Score: Canada 0 - 0 Morocco?,Exact Score: Canada 0 - 1 Morocco?,Exact Score: Canada 0 - 2 Morocco?,Exact Score: Canada 0 - 3 Morocco?,Exact Score: Canada 1 - 0 Morocco?,Exact Score: Canada 1 - 1 Morocco?,Exact Score: Canada 1 - 2 Morocco?,Exact Score: Canada 1 - 3 Morocco?,Exact Score: Canada 2 - 0 Morocco?,Exact Score: Canada 2 - 1 Morocco?,Exact Score: Canada 2 - 2 Morocco?,Exact Score: Canada 2 - 3 Morocco?,Exact Score: Canada 3 - 1 Morocco?,Exact Score: Canada 3 - 2 Morocco?,Exact Score: Canada 3 - 3 Morocco?,Exact Score: Paraguay 0 - 0 France?,Exact Score: Paraguay 0 - 1 France?,Exact Score: Paraguay 0 - 2 France?,Exact Score: Paraguay 0 - 3 France?,Exact Score: Paraguay 1 - 0 France?,Exact Score: Paraguay 1 - 1 France?,Exact Score: Paraguay 1 - 2 France?,Exact Score: Paraguay 1 - 3 France?,Exact Score: Paraguay 2 - 0 France?,Exact Score: Paraguay 2 - 2 France?,Exact Score: Paraguay 2 - 3 France?,France leading at halftime?,Liaoning Tieren FC vs. Chongqing Tonglianglong FC: O/U 2.5,Minnesota Twins vs. New York Yankees,Morocco leading at halftime?,Paraguay leading at halftime?,Paraguay vs. France: 1st Half O/U 0.5,Paraguay vs. France: 1st Half O/U 1.5,Paraguay vs. France: 1st Half O/U 2.5,Paraguay vs. France: Both Teams to Score,Paraguay vs. France: Draw at halftime?,Paraguay vs. France: France O/U 0.5,Paraguay vs. France: France O/U 1.5,Paraguay vs. France: France O/U 2.5,Paraguay vs. France: O/U 0.5,Paraguay vs. France: O/U 1.5,Paraguay vs. France: O/U 2.5,Paraguay vs. France: O/U 3.5,Paraguay vs. France: O/U 4.5,Paraguay vs. France: O/U 5.5,Paraguay vs. France: O/U 6.5,Paraguay vs. France: Paraguay O/U 2.5,Paraguay vs. France: Team to Advance,Pittsburgh Pirates vs. Washington Nationals: O/U 10.5,Pittsburgh Pirates vs. Washington Nationals: O/U 9.5,Quito: Samuel Heredia vs Matheus Pucinelli de Almeida,Spread: Canada (-1.5),Spread: Canada (-2.5),Spread: Detroit Tigers (-1.5),Spread: France (-1.5),Spread: France (-2.5),Spread: Morocco (-1.5),Spread: Morocco (-2.5),Spread: Paraguay (-1.5),Spread: Seattle Mariners (-1.5),Toronto Blue Jays vs. Seattle Mariners,Toronto Blue Jays vs. Seattle Mariners: O/U 7.5,Will Beijing Guoan FC win on 2026-07-04?,Will Canada vs. Morocco end in a draw?,Will Canada win on 2026-07-04?,Will France win on 2026-07-04?,Will Morocco win on 2026-07-04?,Will Paraguay vs. France end in a draw?,Will Paraguay win on 2026-07-04?,Will Shanghai Haigang FC win on 2026-07-04?,Wimbledon ATP: Alex de Minaur vs Zachary Svajda,Wimbledon ATP: Frances Tiafoe vs Alexander Bublik,Wimbledon ATP: Grigor Dimitrov vs Matteo Berrettini,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Wimbledon WTA: Emma Navarro vs Marta Kostyuk,Wimbledon WTA: Liudmila Samsonova vs Marie Bouzkova
Canada leading at halftime?,1.0,0.6276788322073495,0.23449914164809527,0.018850547014475454,-0.01202118327394114,-0.01202118327394114,0.2121072017540182,0.7368709254714724,-0.020932149451270466,-0.017045674606016355,-0.01202118327394114,0.2872448696810012,0.21578153637283667,0.05934392855530557,0.09445357568454739,0.0785870902935836,-0.017045674606016355,-0.06702652437962164,-0.048340172376531855,-0.02716766329346826,-0.024234787981811664,0.15764233764496177,-0.00427655060428269,-0.042886960182775664,0.42803054166882765,-0.0500609761189425,0.05843840728709282,-0.017045674606016355,0.3441701549354916,-0.02716766329346826,-0.03231755435787069,-0.02716766329346826,0.15518076317248616,-0.020932149451270466,-0.020932149451270466,-0.036841813560413814,-0.03231755435787069,-0.03231755435787069,-0.03464165155963217,-0.017045674606016355,-0.02716766329346826,-0.038939280035297855,-0.03464165155963217,-0.02716766329346826,-0.02716766329346826,-0.01202118327394114,-0.07669455914043834,-0.01202118327394114,0.12273673667498707,0.6200672340012467,-0.03464165155963217,-0.06413896017801911,-0.058140722901046424,-0.03464165155963217,-0.04657413642032069,-0.02984028653245348,-0.020932149451270466,-0.02716766329346826,-0.038939280035297855,-0.020932149451270466,-0.04095005146969703,-0.04095005146969703,-0.036841813560413814,-0.020932149451270466,-0.02984028653245348,-0.024234787981811664,-0.024234787981811664,-0.0271682881462874,0.5065580167207453,0.30341300798709114,-0.017045674606016355,-0.036841813560413814,-0.01202118327394114,-0.01202118327394114,-0.06702523729839939,-0.03464177806358089,-0.04475867561891224,0.07665680347712837,-0.01202118327394114,-0.017045674606016355,-0.036842294502062195,-0.03464177806358089,-0.01202118327394114,0.05080194533073666,0.11731003820720552,-0.03464215758374257,0.06527182918775146,-0.020932149451270466,-0.05658423914187711,-0.01202118327394114,-0.01202118327394114,0.0785268510815566,0.007905681703376723,0.4471880177906104,-0.017045674606016355,-0.01202118327394114
Canada vs. Morocco: 1st Half O/U 0.5,0.6276788322073495,1.0,0.5012333474161317,-0.012488853214323234,-0.01897648955142732,-0.01897648955142732,0.4344312514623638,0.8596629248477832,-0.03304322929773627,-0.026908088720292076,-0.01897648955142732,0.2838583139287583,0.27551997833257885,0.12755861138803581,0.05280521566209218,0.0924673134095473,-0.026908088720292076,0.01003541069376055,-0.07630919145921207,-0.04288653345322253,0.11390992905984301,0.16284717978495294,-0.020678632697834144,-0.06770081890067578,0.45487915048688177,-0.07902563072261637,0.06567263517069308,-0.026908088720292076,0.19763083011705299,0.0970430730520009,-0.05101608707099896,-0.04288653345322253,0.20010935030138371,0.15247284347908993,-0.03304322929773627,-0.05815802605724828,-0.05101608707099896,-0.05101608707099896,-0.054684877843146386,-0.026908088720292076,-0.04288653345322253,-0.06146906039871681,-0.054684877843146386,-0.04288653345322253,-0.04288653345322253,-0.01897648955142732,-0.1210690717389506,-0.01897648955142732,0.04399746415716382,0.8094350492210519,-0.054684877843146386,-0.10124896026633458,-0.09178021792878129,-0.054684877843146386,-0.07352134918888133,-0.047105503068255894,-0.03304322929773627,-0.04288653345322253,-0.06146906039871681,-0.03304322929773627,-0.0646432390336853,-0.0646432390336853,-0.05815802605724828,-0.03304322929773627,-0.047105503068255894,-0.03825673317158655,-0.03825673317158655,-0.042887519838066976,0.30476114217374217,0.40594672118761627,-0.026908088720292076,0.040823446862054344,-0.01897648955142732,-0.01897648955142732,-0.10580520122608691,-0.05468507754069747,-0.07065548547614393,0.08088115056025273,-0.01897648955142732,-0.026908088720292076,-0.05815878526571865,-0.05468507754069747,-0.01897648955142732,0.12122278829816376,0.19049944114347708,-0.05468567664647755,0.24885128008655943,-0.03304322929773627,-0.08932317213555471,-0.01897648955142732,-0.01897648955142732,0.011571905159707376,-0.07123254216043327,0.27199635023712493,-0.026908088720292076,-0.01897648955142732
Canada vs. Morocco: 1st Half O/U 1.5,0.23449914164809527,0.5012333474161317,1.0,-0.06012271327218285,-0.009262084933588906,-0.009262084933588906,0.278532357543701,0.36483352493625665,-0.01612780885559875,-0.013133356538493462,-0.009262084933588906,0.2555977766202215,0.12575040957705808,0.04032371896137245,-0.053818027173028,0.12561909043741565,-0.013133356538493462,-0.051642616825672304,-0.03724515066884743,-0.020932149451270466,0.2707501884830091,0.15482726848111822,0.12978010508553683,-0.033043558084451745,-0.03986652557207335,-0.038570996058027635,0.1047471527158001,-0.013133356538493462,-0.02299146376814882,-0.020932149451270466,-0.024900039079958226,-0.020932149451270466,-0.02299146376814882,-0.01612780885559875,-0.01612780885559875,-0.028385891682036344,-0.024900039079958226,-0.024900039079958226,-0.026690710196610616,-0.013133356538493462,-0.020932149451270466,-0.030001948287532405,-0.026690710196610616,-0.020932149451270466,-0.020932149451270466,-0.009262084933588906,-0.05909164717942186,-0.009262084933588906,-0.028385891682036344,0.3936173650555711,-0.026690710196610616,-0.04941780548414575,-0.044796281808388155,-0.026690710196610616,-0.03588445474986432,-0.022991353014752035,-0.01612780885559875,-0.020932149451270466,-0.030001948287532405,-0.01612780885559875,-0.03155120807195076,-0.03155120807195076,-0.028385891682036344,-0.01612780885559875,-0.022991353014752035,-0.01867242679193166,-0.01867242679193166,-0.020932630888060008,-0.01612780885559875,-0.013133356538493462,-0.013133356538493462,-0.028385891682036344,-0.009262084933588906,-0.009262084933588906,-0.051641625154941945,-0.026690807665411372,-0.03448567796116856,-0.03724748623439058,-0.009262084933588906,-0.013133356538493462,-0.028386262238103404,-0.026690807665411372,-0.009262084933588906,-0.04113454152224999,0.08176842987071034,-0.026691100078220616,0.15766517137165523,-0.01612780885559875,-0.043597041729715645,-0.009262084933588906,-0.009262084933588906,0.06965400179750501,-0.06216515768512549,-0.009262084933588906,-0.013133356538493462,-0.009262084933588906
Canada vs. Morocco: Both Teams to Score,0.018850547014475454,-0.012488853214323234,-0.06012271327218285,1.0,0.15784248203142448,0.12035489254896116,-0.06960926917968151,-0.030536309358307374,0.056017584701570214,0.10783720964385772,0.15389641998063885,0.16735245008375582,0.2064819879051789,0.49259000924870056,0.30384641409179836,0.10317124597847455,-0.048959721468367794,0.320097023908333,-0.13884586148632336,-0.0780327712770683,0.12127079178218411,0.22890071899433953,0.4009620807968464,0.20564293213395374,0.1904354345116536,0.2450707617249761,0.3739596626256601,-0.048959721468367794,0.0796609734750363,-0.0780327712770683,0.14546434602808653,0.20060851222038148,0.07088485603616435,-0.06012271327218285,-0.06012271327218285,-0.1058195097582555,-0.09282463126110119,-0.09282463126110119,-0.09950005797747728,-0.048959721468367794,-0.0780327712770683,-0.1118439926122997,-0.09950005797747728,-0.0780327712770683,-0.0780327712770683,-0.0345280429443741,-0.22028721892472333,-0.0345280429443741,-0.1058195097582555,0.0344452203731554,-0.09950005797747728,-0.1842241916596361,-0.1669956552027621,-0.09950005797747728,-0.13377333543395445,-0.08570925768168493,-0.06012271327218285,-0.0780327712770683,-0.1118439926122997,-0.06012271327218285,-0.1176194641990908,-0.1176194641990908,-0.1058195097582555,-0.06012271327218285,-0.08570925768168493,-0.06960877154229232,-0.06960877154229232,-0.07803456602093682,0.06298569961847728,-0.048959721468367794,-0.048959721468367794,0.009941186160710894,0.18349188536153094,-0.0345280429443741,-0.1925143489670192,-0.09950042133054116,0.21018351347956574,0.3200407130453815,-0.0345280429443741,-0.048959721468367794,-0.10582089115087807,-0.09950042133054116,-0.0345280429443741,0.23291659512010585,0.23605410723085313,-0.0995015114136172,0.2935464780878103,-0.06012271327218285,-0.16252501892227894,-0.0345280429443741,-0.0345280429443741,0.13110450218272168,-0.19082704500929204,0.17757279228535253,-0.048959721468367794,-0.0345280429443741
Canada vs. Morocco: Canada O/U 0.5,-0.01202118327394114,-0.01897648955142732,-0.009262084933588906,0.15784248203142448,1.0,-0.005319148936170213,-0.010723517423249099,-0.016301813967952983,-0.009262084933588906,-0.007542392448457355,-0.005319148936170213,-0.02289501834826318,0.16658962503008645,-0.03570133474755844,0.1556023039251619,-0.0198048317495847,-0.007542392448457355,0.16476657992650198,-0.02138962285254425,-0.01202118327394114,-0.010723440760711534,-0.03213355810042108,0.13537918280421526,-0.018976678371279476,-0.022895059655140552,-0.02215104634865242,-0.02289501834826318,-0.007542392448457355,-0.013203832713716807,-0.01202118327394114,-0.01429991382420151,-0.01202118327394114,-0.013203832713716807,-0.009262084933588906,-0.009262084933588906,-0.016301813967952983,-0.01429991382420151,-0.01429991382420151,-0.015328283401188487,-0.007542392448457355,-0.01202118327394114,-0.01722990368377298,-0.015328283401188487,-0.01202118327394114,-0.01202118327394114,-0.005319148936170213,-0.03393590908361219,-0.005319148936170213,-0.016301813967952983,-0.015328283401188487,-0.015328283401188487,-0.028380291192925407,-0.025726183298250112,-0.015328283401188487,-0.020608184947169136,-0.01320376910883552,-0.009262084933588906,-0.01202118327394114,-0.01722990368377298,-0.009262084933588906,-0.018119632464412335,-0.018119632464412335,-0.016301813967952983,-0.009262084933588906,-0.01320376910883552,-0.010723440760711534,-0.010723440760711534,-0.012021459759635807,-0.009262084933588906,-0.007542392448457355,-0.007542392448457355,-0.016301813967952983,-0.005319148936170213,-0.005319148936170213,-0.029657414877383628,-0.015328339376821576,-0.019804877471489613,-0.0213909641510816,-0.005319148936170213,-0.007542392448457355,-0.01630202677564413,-0.015328339376821576,-0.005319148936170213,0.2178590650998985,0.14494038948775478,-0.015328507307400308,0.13421121127519192,-0.009262084933588906,-0.02503746832376846,-0.005319148936170213,-0.005319148936170213,-0.053465551908832884,-0.035701004119335064,-0.005319148936170213,-0.007542392448457355,-0.005319148936170213
Canada vs. Morocco: Canada O/U 1.5,-0.01202118327394114,-0.01897648955142732,-0.009262084933588906,0.12035489254896116,-0.005319148936170213,1.0,-0.010723517423249099,-0.016301813967952983,-0.009262084933588906,-0.007542392448457355,-0.005319148936170213,-0.02289501834826318,-0.037435870793277856,0.15920865495532818,-0.030907306944039006,-0.0198048317495847,-0.007542392448457355,0.2021136713765091,-0.02138962285254425,-0.01202118327394114,-0.010723440760711534,0.19280134860252648,-0.03333964949656048,-0.018976678371279476,-0.022895059655140552,0.22981710586726886,-0.02289501834826318,-0.007542392448457355,-0.013203832713716807,-0.01202118327394114,-0.01429991382420151,-0.01202118327394114,-0.013203832713716807,-0.009262084933588906,-0.009262084933588906,-0.016301813967952983,-0.01429991382420151,-0.01429991382420151,-0.015328283401188487,-0.007542392448457355,-0.01202118327394114,-0.01722990368377298,-0.015328283401188487,-0.01202118327394114,-0.01202118327394114,-0.005319148936170213,-0.03393590908361219,-0.005319148936170213,-0.016301813967952983,-0.015328283401188487,-0.015328283401188487,-0.028380291192925407,-0.025726183298250112,-0.015328283401188487,-0.020608184947169136,-0.01320376910883552,-0.009262084933588906,-0.01202118327394114,-0.01722990368377298,-0.009262084933588906,-0.018119632464412335,-0.018119632464412335,-0.016301813967952983,-0.009262084933588906,-0.01320376910883552,-0.010723440760711534,-0.010723440760711534,-0.012021459759635807,-0.009262084933588906,-0.007542392448457355,-0.007542392448457355,-0.016301813967952983,-0.005319148936170213,-0.005319148936170213,-0.029657414877383628,-0.015328339376821576,-0.019804877471489613,-0.0213909641510816,-0.005319148936170213,-0.007542392448457355,-0.01630202677564413,-0.015328339376821576,-0.005319148936170213,0.2152342570866467,0.19685933497590577,-0.015328507307400308,0.1361015100255467,-0.009262084933588906,-0.02503746832376846,-0.005319148936170213,-0.005319148936170213,-0.053465551908832884,-0.035701004119335064,-0.005319148936170213,-0.007542392448457355,-0.005319148936170213
Canada vs. Morocco: Canada O/U 2.5,0.2121072017540182,0.4344312514623638,0.278532357543701,-0.06960926917968151,-0.010723517423249099,-0.010723517423249099,1.0,0.48740764562319605,-0.018672560282259283,-0.015205623644794797,-0.010723517423249099,0.08348958564185327,0.18877861001423527,0.1789537032470376,0.12685345256781574,-0.03992696216626344,-0.015205623644794797,0.03991347753818991,-0.04312193474716526,-0.024234961237801552,0.23235796653415144,0.12577967527591336,0.016663265317111292,-0.03825738733616425,0.34411188888719835,-0.04465698071503885,0.08074574585906943,-0.015205623644794797,0.39476942238894913,0.19875232761160005,0.16875710681969483,-0.024234961237801552,0.17858812341519995,0.276959844750971,-0.018672560282259283,-0.03286480378979096,-0.028828930508419687,-0.028828930508419687,-0.03090214545477521,-0.015205623644794797,-0.024234961237801552,-0.03473585240252256,-0.03090214545477521,-0.024234961237801552,-0.024234961237801552,-0.010723517423249099,-0.0684155147183996,-0.010723517423249099,-0.03286480378979096,0.3466987727659254,-0.03090214545477521,-0.0572152708518331,-0.0518645328685072,-0.03090214545477521,-0.04154653930439151,-0.026619079441137318,-0.018672560282259283,-0.024234961237801552,-0.03473585240252256,-0.018672560282259283,-0.0365295645537792,-0.0365295645537792,-0.03286480378979096,-0.018672560282259283,-0.026619079441137318,-0.02161868472091791,-0.02161868472091791,-0.024235518638844395,-0.018672560282259283,0.34401717833408757,-0.015205623644794797,-0.03286480378979096,-0.010723517423249099,-0.010723517423249099,-0.05978997937123628,-0.030902258302842427,-0.0399270543425965,-0.04312463883355345,-0.010723517423249099,-0.015205623644794797,-0.03286523281462391,-0.030902258302842427,-0.010723517423249099,0.06734978463494767,0.04195095067317766,-0.030902596854461974,0.19608401889659038,-0.018672560282259283,-0.05047606882714797,-0.010723517423249099,-0.010723517423249099,-0.10778769015834376,-0.07197398386382138,-0.010723517423249099,-0.015205623644794797,-0.010723517423249099
Canada vs. Morocco: Draw at halftime?,0.7368709254714724,0.8596629248477832,0.36483352493625665,-0.030536309358307374,-0.016301813967952983,-0.016301813967952983,0.48740764562319605,1.0,-0.028385891682036344,-0.023115479570792494,-0.016301813967952983,0.27727452483988335,0.22945912566182874,0.115072391750821,0.09362836204306302,0.1251455590991547,-0.023115479570792494,0.04176490860995632,-0.06555365468632822,-0.036841813560413814,0.13693570349569553,0.14283307704367276,0.008021943683709879,-0.05815860474119571,0.4658028241893456,-0.06788722051299236,0.09944068209631012,-0.023115479570792494,0.23237806591691315,0.11942725453975413,-0.04382553256493972,-0.036841813560413814,0.2412437046588975,0.17879273573270862,-0.028385891682036344,-0.04996083806540043,-0.04382553256493972,-0.04382553256493972,-0.04697721899739643,-0.023115479570792494,-0.036841813560413814,-0.0528051926932596,-0.04697721899739643,-0.036841813560413814,-0.036841813560413814,-0.016301813967952983,-0.1040047728223094,-0.016301813967952983,0.06897722080804125,0.5753121325950992,-0.04697721899739643,-0.08697824274808004,-0.0788440893959041,-0.04697721899739643,-0.06315874987847299,-0.040466132885351704,-0.028385891682036344,-0.036841813560413814,-0.0528051926932596,-0.028385891682036344,-0.05553198098927589,-0.05553198098927589,-0.04996083806540043,-0.028385891682036344,-0.040466132885351704,-0.03286456883896693,-0.03286456883896693,-0.03684266091746535,0.3794853843700179,0.475165113857925,-0.023115479570792494,0.06404281704849553,-0.016301813967952983,-0.016301813967952983,-0.0908922960990837,-0.04697739054821561,-0.06069682050128542,0.02760800272102606,-0.016301813967952983,-0.023115479570792494,-0.04996149026586213,-0.04697739054821561,-0.016301813967952983,0.15769966018237214,0.17466199526859852,-0.04697790521194977,0.24093523617696852,-0.028385891682036344,-0.07673335635840674,-0.016301813967952983,-0.016301813967952983,0.022955961555220953,-0.04057598088115771,0.34052678066390674,-0.023115479570792494,-0.016301813967952983
Canada vs. Morocco: Morocco O/U 0.5,-0.020932149451270466,-0.03304322929773627,-0.01612780885559875,0.056017584701570214,-0.009262084933588906,-0.009262084933588906,-0.018672560282259283,-0.028385891682036344,1.0,-0.013133356538493462,-0.009262084933588906,0.3985321859507646,0.21487247714346458,-0.06216573339878252,0.19121224627351874,-0.03448559834689723,-0.013133356538493462,-0.051642616825672304,-0.03724515066884743,-0.020932149451270466,-0.01867242679193166,0.04692854394696722,0.06105985005817411,-0.033043558084451745,0.24468757333431176,-0.038570996058027635,0.10476369652891164,-0.013133356538493462,-0.02299146376814882,-0.020932149451270466,0.42330066435928987,-0.020932149451270466,-0.02299146376814882,0.32251825163553616,-0.01612780885559875,-0.028385891682036344,-0.024900039079958226,-0.024900039079958226,-0.026690710196610616,-0.013133356538493462,-0.020932149451270466,-0.030001948287532405,-0.026690710196610616,-0.020932149451270466,-0.020932149451270466,-0.009262084933588906,-0.05909164717942186,-0.009262084933588906,-0.028385891682036344,-0.026690710196610616,-0.026690710196610616,-0.04941780548414575,-0.044796281808388155,-0.026690710196610616,-0.03588445474986432,-0.022991353014752035,-0.01612780885559875,-0.020932149451270466,-0.030001948287532405,-0.01612780885559875,-0.03155120807195076,-0.03155120807195076,-0.028385891682036344,-0.01612780885559875,-0.022991353014752035,-0.01867242679193166,-0.01867242679193166,-0.020932630888060008,-0.01612780885559875,-0.013133356538493462,-0.013133356538493462,0.16400737416287664,-0.009262084933588906,-0.009262084933588906,-0.051641625154941945,-0.026690807665411372,-0.03448567796116856,-0.03724748623439058,-0.009262084933588906,-0.013133356538493462,-0.028386262238103404,-0.026690807665411372,-0.009262084933588906,-0.04113454152224999,0.05650312772590116,-0.026691100078220616,0.03840111594924425,-0.01612780885559875,-0.043597041729715645,-0.009262084933588906,-0.009262084933588906,0.06696502560840382,-0.06216515768512549,-0.009262084933588906,-0.013133356538493462,-0.009262084933588906
Canada vs. Morocco: Morocco O/U 1.5,-0.017045674606016355,-0.026908088720292076,-0.013133356538493462,0.10783720964385772,-0.007542392448457355,-0.007542392448457355,-0.015205623644794797,-0.023115479570792494,-0.013133356538493462,1.0,-0.007542392448457355,0.35709878142135376,0.07760219323680156,-0.05062341378876859,-0.043825627237412186,0.1857204018636102,0.4946242643730195,0.09351129987142019,-0.030329838817135555,-0.017045674606016355,0.3477959845716113,0.09406846827402766,0.06743662880497121,-0.026908356461136363,0.32640314208650095,-0.031409514324634916,0.1431951765690517,-0.010694884563150747,-0.018722635772318783,0.3068041051573886,-0.0202768456637547,0.3068221429082944,0.28235848058041957,-0.013133356538493462,0.398378481667635,-0.023115479570792494,-0.0202768456637547,-0.0202768456637547,-0.021735042646912395,-0.010694884563150747,-0.017045674606016355,-0.024431482741241732,-0.021735042646912395,-0.017045674606016355,-0.017045674606016355,-0.007542392448457355,-0.04812009354790912,-0.007542392448457355,-0.023115479570792494,-0.021735042646912395,-0.021735042646912395,-0.04024239526796578,-0.03647895047963406,-0.021735042646912395,-0.029221783482124907,-0.018722545582519238,-0.013133356538493462,-0.017045674606016355,-0.024431482741241732,-0.013133356538493462,-0.02569309126486039,-0.02569309126486039,-0.023115479570792494,-0.013133356538493462,-0.018722545582519238,-0.01520551493963325,-0.01520551493963325,-0.017046066654376083,-0.013133356538493462,-0.010694884563150747,-0.010694884563150747,0.2259772544284,-0.007542392448457355,-0.007542392448457355,-0.04205331805824567,-0.02173512201866854,-0.028082717757314253,0.1688841367013022,-0.007542392448457355,-0.010694884563150747,-0.02311578132566756,-0.02173512201866854,-0.007542392448457355,-0.0334970859771587,-0.04294470584119298,-0.021735360139154378,-0.052267536823336624,-0.013133356538493462,-0.035502373458572115,-0.007542392448457355,-0.007542392448457355,-0.0023602400106658857,-0.05062294496793933,-0.007542392448457355,-0.010694884563150747,-0.007542392448457355
