,wallet_label,token_id,question,outcome_label,buy_shares,sell_shares,buy_notional,sell_notional,total_notional,fills,net_shares,gross_shares,net_to_gross_ratio
0,Mind.The.Gap,101238961791599951615685057841199539507679732083288763835613798393210363728749,Canada vs. Morocco: Team to Advance,Morocco,49524.491388,554.99,44146.094555,471.7415,44617.836055,84,48969.501388000004,50079.481388,0.9778356330929184
1,Mind.The.Gap,102051736436656560797672629859737891705962543111476656351708851920203673046762,Will Morocco win on 2026-07-04?,Yes,11349.855383,10334.783927,7552.356154,8432.838218,15985.194372,10,1015.0714559999997,21684.63931,0.04681062209468679
2,Mind.The.Gap,102160917682664539054010256622493974769159216846456075685208964292484286267403,Will Canada vs. Morocco end in a draw?,Yes,21748.2,341.84,5522.24437,76.80700999999999,5599.05138,4,21406.36,22090.04,0.9690503050243457
3,Mind.The.Gap,10609662626498431851840947167646713641731799682558722152460847719580461702230,Canada vs. Morocco: Both Teams to Score,No,684.3900000000001,0.0,670.7022,0.0,670.7022,5,684.3900000000001,684.3900000000001,1.0
4,Mind.The.Gap,109563149597666284036383336521861145893423377854256145684923251785322144838234,Spread: Morocco (-1.5),Morocco,1646.049165,1646.03,346.96334599999994,1305.91582,1652.879166,9,0.019164999999929933,3292.079165,5.821548948058159e-06
5,Mind.The.Gap,11263816773062132614077322307882909551135079093893055759804813369043643400419,Will Canada win on 2026-07-04?,No,8119.645,4166.9,7905.85189,4162.60822,12068.46011,4,3952.745000000001,12286.545,0.321713305082918
6,Mind.The.Gap,26895713768902859572307099332179579216237114281062297113584226124720853329935,Spread: Morocco (-2.5),Morocco,1280.97021,0.0,678.676702,0.0,678.676702,6,1280.97021,1280.97021,1.0
7,Mind.The.Gap,42996203538860485282358738973883755617896397771907303376864680499165101300451,Canada vs. Morocco: O/U 0.5,Over,634.5625,0.0,533.0325,0.0,533.0325,5,634.5625,634.5625,1.0
8,Mind.The.Gap,50824321377710964921744720422284572418158281031478336435167731758953613423485,Canada vs. Morocco: O/U 1.5,Under,6248.65,0.0,3154.0555300000005,0.0,3154.05553,5,6248.65,6248.65,1.0
9,Mind.The.Gap,55920410518084961660947482181085666491550953052146626322159352002622133192050,Spread: Morocco (-1.5),Canada,1630.38807,169.99,384.77198200000004,133.52685,518.298832,5,1460.39807,1800.37807,0.8111618855699569
10,Mind.The.Gap,56292828273428899260365455682186850383967622513477170366683867650416440166282,Canada vs. Morocco: Team to Advance,Canada,7296.288458999999,7296.27,1651.921456,923.75886,2575.680316,17,0.018458999998983927,14592.558459,1.264959811594881e-06
11,Mind.The.Gap,60688539524393997069873883857924125728741268142754566736060452513865271992897,Canada vs. Morocco: O/U 2.5,Under,28719.55,0.0,24261.81154,0.0,24261.81154,21,28719.55,28719.55,1.0
12,Mind.The.Gap,65668323357092153659635952271884062785503105920888052743329065374587829550790,Will Morocco win on 2026-07-04?,No,36985.65,36985.64,18291.31125,8372.555,26663.86625,22,0.010000000002037268,73971.29000000001,1.3518758429165243e-07
13,Mind.The.Gap,71632223088728071164198560444876622481182650786367190732492573444308094933385,Will Canada vs. Morocco end in a draw?,No,4408.992421,935.8900000000001,3623.7394430000004,701.9175000000001,4325.656943,11,3473.1024209999996,5344.882421,0.6497995928505758
14,Mind.The.Gap,8920104249180949017043784547406683331617061867643812394376393493240474884812,Canada vs. Morocco: Both Teams to Score,Yes,21850.059404,21844.338479,8762.092299,8364.103636,17126.195935,27,5.7209250000014435,43694.397883,0.000130930400169841
15,Mind.The.Gap,92558617592610075024809620259581225959591222778250295886163453827086930306302,Canada vs. Morocco: O/U 2.5,Over,49914.43449500001,49914.388086,14831.316402999999,12824.414733,27655.731136,56,0.04640900000958936,99828.82258100001,4.648857795746675e-07
16,Mind.The.Gap,96116244500158894129614720792528379861054569399638069723975776943314550124383,Canada vs. Morocco: O/U 1.5,Over,8072.588685,7598.493920000002,6154.283822,3628.4077790000006,9782.691601,21,474.094764999998,15671.082605000001,0.03025284065880259
17,RN1,10021596800474611583847953276613904774040226915801163676529969705586326980594,Pittsburgh Pirates vs. Washington Nationals: O/U 10.5,Under,1381.344818,0.0,983.6138549999998,0.0,983.613855,18,1381.344818,1381.344818,1.0
18,RN1,101238961791599951615685057841199539507679732083288763835613798393210363728749,Canada vs. Morocco: Team to Advance,Morocco,43622.992516000006,0.0,34646.739325999995,0.0,34646.739326,45,43622.992516000006,43622.992516000006,1.0
19,RN1,101526365801834639790070577885124060839319791577756715864099059492879712335669,Spread: Canada (-2.5),Canada,4699.9895,0.0,9.399979,0.0,9.399979,1,4699.9895,4699.9895,1.0
20,RN1,102051736436656560797672629859737891705962543111476656351708851920203673046762,Will Morocco win on 2026-07-04?,Yes,113862.136779,0.0,79905.408677,0.0,79905.408677,207,113862.136779,113862.136779,1.0
21,RN1,102160917682664539054010256622493974769159216846456075685208964292484286267403,Will Canada vs. Morocco end in a draw?,Yes,20740.49063,0.0,3935.7762639999996,0.0,3935.776264,59,20740.49063,20740.49063,1.0
22,RN1,103286678066490288553804621472986167889449048739658388096619649226707845727713,Exact Score: Paraguay 1 - 0 France?,No,166.5625,0.0,162.23250000000002,0.0,162.23250000000002,2,166.5625,166.5625,1.0
23,RN1,105237847709298429437347196019111660046119220044271259370520358578409062836481,Canada vs. Morocco: O/U 0.5,Under,10394.294619000004,0.0,2797.0864600000004,0.0,2797.08646,46,10394.294619000004,10394.294619000004,1.0
24,RN1,105744255343649799224905990052636656876207699022811328140297219012336917895171,Quito: Samuel Heredia vs Matheus Pucinelli de Almeida,Matheus Pucinelli de Almeida,484.391303,0.0,372.981304,0.0,372.981304,1,484.391303,484.391303,1.0
25,RN1,10609662626498431851840947167646713641731799682558722152460847719580461702230,Canada vs. Morocco: Both Teams to Score,No,76872.261702,0.0,55345.724886,0.0,55345.724886,34,76872.261702,76872.261702,1.0
26,RN1,106964674653729841535913713722411749431404944366557602026383261061827609828001,Exact Score: Paraguay 2 - 0 France?,No,295.0,0.0,290.28,0.0,290.28,1,295.0,295.0,1.0
27,RN1,107509945179891730576690814548805381874985429825368905042759583990830244416842,Exact Score: Canada 3 - 2 Morocco?,No,782.0,0.0,775.744,0.0,775.744,1,782.0,782.0,1.0
28,RN1,107678834427131311529903503002845058071737502937601105313684556864510683013508,Exact Score: Canada 1 - 1 Morocco?,Yes,12226.276698,0.0,993.837407,0.0,993.837407,21,12226.276698,12226.276698,1.0
29,RN1,108932328424036769443529151579569917433073421997872491424809947602428377528963,Paraguay vs. France: O/U 3.5,Over,14366.140301,0.0,2773.045009,0.0,2773.045009,12,14366.140301,14366.140301,1.0
30,RN1,109563149597666284036383336521861145893423377854256145684923251785322144838234,Spread: Morocco (-1.5),Morocco,10557.66,0.0,3653.99388,0.0,3653.99388,6,10557.66,10557.66,1.0
31,RN1,111161642908398098947830978130281451414293991294485707199715180584489214684364,Canada vs. Morocco: 1st Half O/U 1.5,Under,122.777776,0.0,121.53953700000001,0.0,121.53953700000001,3,122.777776,122.777776,1.0
32,RN1,111308261490669211947092561664389142674925528733463801340249426215274066412400,Exact Score: Paraguay 0 - 0 France?,No,3574.8911459999995,0.0,3295.244663,0.0,3295.244663,10,3574.8911459999995,3574.8911459999995,1.0
33,RN1,111972548483158607730945914035299676644445297000183581861521030088279987794413,Wimbledon ATP: Grigor Dimitrov vs Matteo Berrettini,Grigor Dimitrov,9632.734094,0.0,6491.706017,0.0,6491.7060169999995,48,9632.734094,9632.734094,1.0
34,RN1,11263816773062132614077322307882909551135079093893055759804813369043643400419,Will Canada win on 2026-07-04?,No,61620.765908,0.0,53640.496203999995,0.0,53640.496204,149,61620.765908,61620.765908,1.0
35,RN1,113153831938675472473991416337748165225014885380771700309019427537348512609272,Canada vs. Morocco: O/U 4.5,Under,10355.250525000001,0.0,10293.129266000002,0.0,10293.129266,7,10355.250525000001,10355.250525000001,1.0
36,RN1,113682109108006880424027796796590126034948762897855121176264623098012369024930,Exact Score: Canada 3 - 1 Morocco?,Yes,3116.319332,0.0,18.521555999999997,0.0,18.521555999999997,5,3116.319332,3116.319332,1.0
37,RN1,113891226639705983282066963484423345278150974279743795316461155085208879415201,Will France win on 2026-07-04?,Yes,15906.273156000001,0.0,12856.658456999998,0.0,12856.658457,23,15906.273156000001,15906.273156000001,1.0
38,RN1,114942723362694568323488511770222146995871847123434385961754220508381172789472,Paraguay vs. France: France O/U 2.5,Under,6289.245153999999,0.0,3659.0084570000004,0.0,3659.008457,17,6289.245153999999,6289.245153999999,1.0
39,RN1,115267037369048657458215200404984267267938128650073249855813303477757048408771,Exact Score: Paraguay 1 - 3 France?,No,2704.141247,0.0,2506.434749,0.0,2506.434749,11,2704.141247,2704.141247,1.0
40,RN1,11589384810004534295479689104366457381207221028570124709152780999353398710771,Exact Score: Paraguay 2 - 3 France?,No,75.294116,0.0,74.014117,0.0,74.014117,1,75.294116,75.294116,1.0
41,RN1,1178735518974842401447317117246608529999437470551287210618432490951707415137,Paraguay vs. France: 1st Half O/U 1.5,Under,61480.851904,0.0,41245.347514000016,0.0,41245.347514,22,61480.851904,61480.851904,1.0
42,RN1,11885874521633279768623400955241921532847743337484077171122359169454454307938,Pittsburgh Pirates vs. Washington Nationals: O/U 9.5,Over,2092.0,0.0,627.6,0.0,627.6,1,2092.0,2092.0,1.0
43,RN1,1192727302358561848889573447456778428911169032004043183746614781277324520967,Paraguay vs. France: France O/U 2.5,Over,2809.41,0.0,877.067,0.0,877.067,4,2809.41,2809.41,1.0
44,RN1,12392692711412120981784453932758829678206566197234030614093476524250966477982,Exact Score: Canada 0 - 3 Morocco?,Yes,122.22999999999999,0.0,9.89513,0.0,9.89513,6,122.22999999999999,122.22999999999999,1.0
45,RN1,12502603963557344262690313821651004140493591042365218402952297516338760610881,Paraguay vs. France: Both Teams to Score,No,15321.727686000002,0.0,9246.076091,0.0,9246.076091,17,15321.727686000002,15321.727686000002,1.0
46,RN1,14452597772052230551249243515531742217562090673858193567491140016918071884438,Paraguay vs. France: Draw at halftime?,Yes,34.09,0.0,19.403,0.0,19.403,2,34.09,34.09,1.0
47,RN1,14537136329493216412628462941476849888296106688213182717271705201625547940647,Exact Score: Canada 0 - 3 Morocco?,No,4020.284923,0.0,3870.680983,0.0,3870.680983,15,4020.284923,4020.284923,1.0
48,RN1,154655120518508319492071566057404025147019624115170579848662777561531781084,Exact Score: Canada 3 - 3 Morocco?,No,373.4,0.0,373.0266,0.0,373.0266,1,373.4,373.4,1.0
49,RN1,15709951702075154793218306134295394689373201177682625634009941452881490110881,Will Shanghai Haigang FC win on 2026-07-04?,Yes,5.0,0.0,2.05,0.0,2.05,1,5.0,5.0,1.0
50,RN1,16308593678662201012511056620464852726748687349854381251857035004020779872566,Paraguay vs. France: France O/U 1.5,Over,150.0,0.0,100.5,0.0,100.5,1,150.0,150.0,1.0
