,wallet_label,question,fills,notional,estimated_edge_usdc,first_trade,last_trade,unique_tokens,buy_fills,sell_fills,maker_fills,taker_fills,unenriched_fills,duration_minutes,edge_bps
0,Mind.The.Gap,Canada vs. Morocco: Both Teams to Score,32,17796.9,-1301.62,2026-07-04 18:13:29,2026-07-04 19:01:56,2,23,9,28,4,0,48.45,-731.37
1,Mind.The.Gap,Canada vs. Morocco: O/U 0.5,5,533.03,-77.02,2026-07-04 18:13:29,2026-07-04 18:13:31,1,5,0,5,0,0,0.03,-1444.86
2,Mind.The.Gap,Canada vs. Morocco: O/U 1.5,26,12936.75,-532.04,2026-07-04 18:13:29,2026-07-04 18:45:31,2,20,6,22,4,0,32.03,-411.26
3,Mind.The.Gap,Canada vs. Morocco: O/U 2.5,77,51917.54,1882.82,2026-07-04 18:13:29,2026-07-04 18:49:55,2,33,44,73,4,0,36.43,362.66
4,Mind.The.Gap,Canada vs. Morocco: Team to Advance,101,47193.52,360.95,2026-07-04 17:31:46,2026-07-04 18:48:59,2,99,2,96,5,0,77.22,76.48
5,Mind.The.Gap,Spread: Morocco (-1.5),14,2171.18,16.81,2026-07-04 18:13:29,2026-07-04 18:48:16,2,11,3,6,8,0,34.78,77.41
6,Mind.The.Gap,Spread: Morocco (-2.5),6,678.68,-569.71,2026-07-04 19:01:49,2026-07-04 19:01:49,1,6,0,5,1,0,0.0,-8394.45
7,Mind.The.Gap,Will Canada vs. Morocco end in a draw?,15,9924.71,249.18,2026-07-04 18:13:29,2026-07-04 18:45:37,2,6,9,11,4,0,32.13,251.07
8,Mind.The.Gap,Will Canada win on 2026-07-04?,4,12068.46,26.12,2026-07-04 18:13:29,2026-07-04 18:48:04,1,3,1,1,3,0,34.58,21.65
9,Mind.The.Gap,Will Morocco win on 2026-07-04?,32,42649.06,-2026.27,2026-07-04 18:13:29,2026-07-04 18:49:25,2,28,4,26,6,0,35.93,-475.1
10,RN1,Canada leading at halftime?,8,7412.83,-4.77,2026-07-04 17:39:35,2026-07-04 17:47:43,2,8,0,7,1,0,8.13,-6.43
11,RN1,Canada vs. Morocco: 1st Half O/U 0.5,92,8524.55,137.31,2026-07-04 17:39:16,2026-07-04 17:51:14,2,92,0,88,4,0,11.97,161.07
12,RN1,Canada vs. Morocco: 1st Half O/U 1.5,3,121.54,0.46,2026-07-04 17:42:40,2026-07-04 17:49:47,1,3,0,2,1,0,7.12,38.08
13,RN1,Canada vs. Morocco: Both Teams to Score,174,70526.1,2100.17,2026-07-04 17:39:25,2026-07-04 19:00:49,2,174,0,171,3,0,81.4,297.79
14,RN1,Canada vs. Morocco: Canada O/U 0.5,1,64.22,8.03,2026-07-04 18:45:16,2026-07-04 18:45:16,1,1,0,1,0,0,0.0,1250.0
15,RN1,Canada vs. Morocco: Canada O/U 1.5,4,11060.92,-29.12,2026-07-04 18:42:26,2026-07-04 18:42:41,1,4,0,4,0,0,0.25,-26.32
16,RN1,Canada vs. Morocco: Canada O/U 2.5,7,18145.99,-48.49,2026-07-04 17:44:26,2026-07-04 18:03:10,2,7,0,7,0,0,18.73,-26.72
