,wallet_label,question,outcome_label,token_id,fills,net_shares,gross_shares,notional,estimated_edge_usdc,first_trade,last_trade,maker_fills,taker_fills,unenriched_fills,buy_fills,sell_fills,weighted_avg_price,edge_bps
0,Mind.The.Gap,Canada vs. Morocco: Both Teams to Score,No,10609662626498431851840947167646713641731799682558722152460847719580461702230,5,684.39,684.39,670.7,0.0,2026-07-04 19:01:49,2026-07-04 19:01:56,5,0,0,5,0,0.98,0.0
1,Mind.The.Gap,Canada vs. Morocco: Both Teams to Score,Yes,8920104249180949017043784547406683331617061867643812394376393493240474884812,27,5.72,43694.4,17126.2,-1301.62,2026-07-04 18:13:29,2026-07-04 18:43:44,23,4,0,18,9,0.3918,-760.02
2,Mind.The.Gap,Canada vs. Morocco: O/U 0.5,Over,42996203538860485282358738973883755617896397771907303376864680499165101300451,5,634.56,634.56,533.03,-77.02,2026-07-04 18:13:29,2026-07-04 18:13:31,5,0,0,5,0,0.84,-1444.86
3,Mind.The.Gap,Canada vs. Morocco: O/U 1.5,Over,96116244500158894129614720792528379861054569399638069723975776943314550124383,21,474.09,15671.08,9782.69,-513.11,2026-07-04 18:13:29,2026-07-04 18:45:31,19,2,0,15,6,0.6278,-524.51
4,Mind.The.Gap,Canada vs. Morocco: O/U 1.5,Under,50824321377710964921744720422284572418158281031478336435167731758953613423485,5,6248.65,6248.65,3154.06,-18.93,2026-07-04 18:16:20,2026-07-04 18:45:23,3,2,0,5,0,0.4981,-60.02
5,Mind.The.Gap,Canada vs. Morocco: O/U 2.5,Over,92558617592610075024809620259581225959591222778250295886163453827086930306302,56,0.05,99828.82,27655.73,1795.92,2026-07-04 18:13:29,2026-07-04 18:49:55,53,3,0,12,44,0.2771,649.38
6,Mind.The.Gap,Canada vs. Morocco: O/U 2.5,Under,60688539524393997069873883857924125728741268142754566736060452513865271992897,21,28719.55,28719.55,24261.81,86.9,2026-07-04 18:17:31,2026-07-04 18:48:37,20,1,0,21,0,0.8434,35.82
7,Mind.The.Gap,Canada vs. Morocco: Team to Advance,Canada,56292828273428899260365455682186850383967622513477170366683867650416440166282,17,0.02,14592.56,2575.68,116.87,2026-07-04 17:31:46,2026-07-04 18:42:20,14,3,0,16,1,0.1782,453.75
8,Mind.The.Gap,Canada vs. Morocco: Team to Advance,Morocco,101238961791599951615685057841199539507679732083288763835613798393210363728749,84,48969.5,50079.48,44617.84,244.08,2026-07-04 18:13:29,2026-07-04 18:48:59,82,2,0,83,1,0.8899,54.71
9,Mind.The.Gap,Spread: Morocco (-1.5),Canada,55920410518084961660947482181085666491550953052146626322159352002622133192050,5,1460.4,1800.38,518.3,8.38,2026-07-04 18:17:29,2026-07-04 18:48:16,2,3,0,4,1,0.2879,161.71
10,Mind.The.Gap,Spread: Morocco (-1.5),Morocco,109563149597666284036383336521861145893423377854256145684923251785322144838234,9,0.02,3292.08,1652.88,8.43,2026-07-04 18:13:29,2026-07-04 18:48:16,4,5,0,7,2,0.5,50.98
11,Mind.The.Gap,Spread: Morocco (-2.5),Morocco,26895713768902859572307099332179579216237114281062297113584226124720853329935,6,1280.97,1280.97,678.68,-569.71,2026-07-04 19:01:49,2026-07-04 19:01:49,5,1,0,6,0,0.5298,-8394.45
