wallet                                      scope             window  family       features  null_features  valued_features
------------------------------------------  ----------------  ------  -----------  --------  -------------  ---------------
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               90d     calibration  3         0              3              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               90d     execution    2         0              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               90d     income       3         3              0              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               90d     inventory    12        0              12             
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               90d     quality      2         0              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               all     calibration  3         0              3              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               all     execution    2         0              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               all     income       3         0              3              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               all     inventory    12        0              12             
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  all               all     quality      2         0              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   90d     calibration  3         0              3              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   90d     execution    2         0              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   90d     income       3         3              0              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   90d     inventory    12        1              11             
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   90d     quality      2         1              1              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   all     calibration  3         0              3              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   all     execution    2         0              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   all     income       3         1              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   all     inventory    12        1              11             
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:Sports   all     quality      2         1              1              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  90d     calibration  3         3              0              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  90d     execution    2         2              0              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  90d     income       3         3              0              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  90d     inventory    12        9              3              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  90d     quality      2         2              0              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  all     calibration  3         0              3              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  all     execution    2         0              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  all     income       3         1              2              
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  all     inventory    12        1              11             
0x2005d16a84ceefa912d4e380cd32e7ff827875ea  category:unknown  all     quality      2         1              1              
