trade_utc,wallet,wallet_label,token_id,condition_id,question,outcome_label,side,role,fill_price,fill_size,book_before_age_s,best_bid_before,best_ask_before,mid_before,spread_before,book_after_age_s,best_bid_after,best_ask_after,context_status,null_reason
2026-07-05T15:57:16+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.15,1.711764,1,0.15,0.16,0.155,0.01,1,0.15,0.16,excellent,
2026-07-05T15:57:13+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.15000000042500003,17.647058,0,0.15,0.16,0.155,0.01,0,0.15,0.16,excellent,
2026-07-05T15:57:10+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.15,0.352941,1,0.15,0.16,0.155,0.01,1,0.15,0.16,excellent,
2026-07-05T15:57:08+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.15000001700002005,0.882352,1,0.15,0.16,0.155,0.01,1,0.15,0.16,excellent,
2026-07-05T15:57:05+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.15000001700002005,0.882352,0,0.15,0.16,0.155,0.01,0,0.15,0.16,excellent,
2026-07-05T15:57:05+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.15,2.5095,0,0.15,0.16,0.155,0.01,0,0.15,0.16,excellent,
2026-07-05T15:57:05+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.1500000779820735,0.192352,0,0.15,0.16,0.155,0.01,0,0.15,0.16,excellent,
2026-07-05T15:57:05+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,83416745767116046345774749740035953488768882990234326717422430865288412974232,0xacb0eed77d09803271dbd3c4bd48e36e7db3bce93d9f9e7b41698c5b374ae726,Wimbledon ATP: Hubert Hurkacz vs Jan-Lennard Struff,Jan-Lennard Struff,BUY,maker,0.15000004292939917,0.349411,0,0.15,0.16,0.155,0.01,0,0.15,0.16,excellent,
2026-07-05T15:56:02+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.6200000001744262,995.263157,1,0.62,0.63,0.625,0.01,1,0.62,0.63,excellent,
2026-07-05T15:55:58+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.620000000247,652.631578,1,0.62,0.63,0.625,0.01,1,0.62,0.63,excellent,
2026-07-05T15:55:08+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.6,3,2,0.6,0.61,0.605,0.01,2,0.6,0.61,excellent,
2026-07-05T15:55:02+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.6,28.5,1,0.6,0.61,0.605,0.01,1,0.6,0.61,excellent,
2026-07-05T15:54:59+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.6,15,0,0.6,0.61,0.605,0.01,0,0.6,0.61,excellent,
2026-07-05T15:54:53+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.6,1.5,0,0.6,0.61,0.605,0.01,0,0.6,0.61,excellent,
2026-07-05T15:54:52+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.6,3,2,0.6,0.61,0.605,0.01,1,0.6,0.61,excellent,
2026-07-05T15:54:31+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.61,22.875,0,0.61,0.62,0.615,0.01,0,0.61,0.62,excellent,
2026-07-05T15:54:22+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.610000001220339,239.933333,1,0.61,0.62,0.615,0.01,6,0.61,0.62,excellent,
2026-07-05T15:54:22+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,49879704887492126282668979145051908403872368437254201863109241294433655764437,0x4da73e81ca85a3d9715340bea8dc38c102fe0bf63ba6aa1f3efd8a54d56e9d0d,Wimbledon ATP: Felix Auger-Aliassime vs Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,BUY,maker,0.61,2.9036,1,0.61,0.62,0.615,0.01,6,0.61,0.62,excellent,
